Random waveform, random seed
Total number of intervals = 120 (18196, 35822, 61511, 61621, 10539, 74189, 84582, 36624, 101188, 43639, 87660, 11243, 41403, 101332, 44465, 109829, 59431, 57576, 73122, 106253, 25640, 96000, 101920, 68835, 85818, 27489, 91056, 67865, 55517, 9373, 17568, 94778, 39420, 56331, 36451, 36314, 38807, 43826, 84756, 25657, 65953, 51233, 35140, 52758, 52288, 29275, 68173, 98962, 20346, 56401, 57647, 12488, 79384, 45561, 51300, 9432, 51788, 20942, 96784, 60378, 26721, 93799, 72159, 98191, 76135, 38269, 33616, 54334, 85064, 62453, 34528, 52446, 61339, 9815, 94480, 71456, 43963, 83603, 77143, 66213, 11458, 93899, 80334, 40006, 35634, 61549, 67807, 33097, 43262, 63233, 17081, 98710, 84526, 52092, 101609, 82896, 64878, 45989, 104485, 16075, 82106, 11126, 75301, 97222, 69130, 107642, 54595, 61711, 56960, 10185, 13592, 41967, 28650, 68104, 92058, 104408, 92701, 96280, 83223, 87127)
Average QPS expected = 59235
Timestamp start: 1778408485571
Timestamp end: 1778410285882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      281.0    98.5    86.8   171.9   184.7   271.4   317.9   339.3   353.2   368.0   386.6   412.4   471.5   651.9  2597.5  62449.8    62453
read      280.5    72.8    93.8   177.2   191.2   283.1   313.7   328.1   337.8   347.7   363.5   385.5   436.2   575.8  1783.8  34513.4    34528
read      280.1    86.0    86.8   172.5   185.4   275.3   317.7   336.6   348.6   362.8   378.5   402.1   460.7   584.8  2406.7  52508.7    52446
read      279.2    90.6    86.8   170.8   183.7   270.4   316.5   337.4   350.8   365.6   383.4   407.4   467.0   608.1  2630.1  61413.7    61339
read      253.4    69.1   109.4   178.4   193.0   251.8   270.0   279.9   287.5   295.1   307.9   326.2   387.4   590.8  3071.5   9799.3     9815
read      281.5    91.2    86.8   173.1   185.6   266.8   311.4   336.1   352.9   371.3   394.1   427.9   516.0   743.5  2298.8  94415.1    94480
read      278.3    92.7    86.8   170.3   182.9   265.9   313.1   336.2   351.1   367.3   387.0   415.0   479.8   677.8  2650.4  71486.5    71456
read      283.2    83.2   101.3   175.2   188.9   282.6   319.8   336.5   346.9   360.5   374.1   399.2   460.1   611.1  1936.9  43957.2    43963
read      276.5    91.8    80.4   169.8   182.1   262.1   308.3   332.8   348.8   366.5   387.5   417.6   489.8   689.3  2895.9  83653.3    83603
read      277.0    87.6    93.8   169.9   182.4   263.8   310.9   334.8   350.3   367.1   387.5   416.3   480.3   636.8  1979.8  77132.3    77143
