Random waveform, random seed
Total number of intervals = 120 (30791, 31616, 50769, 7057, 41381, 44185, 23177, 65077, 28062, 60607, 88124, 40638, 59694, 78113, 99310, 95000, 96501, 30992, 56828, 106080, 52414, 39816, 101506, 30559, 20973, 88000, 47947, 40253, 94352, 29332, 88303, 107513, 93120, 107015, 17017, 64172, 51842, 85691, 91307, 94526, 109425, 87706, 52117, 97496, 50989, 42439, 80425, 10577, 80828, 52257, 41244, 50042, 82346, 48066, 43897, 11554, 12389, 87616, 105888, 81789, 37732, 34935, 73806, 54451, 44395, 93880, 69477, 73697, 16901, 5183, 47578, 45051, 85088, 39484, 79682, 17436, 76254, 33821, 29295, 95603, 49952, 44134, 13631, 62088, 102267, 16120, 105389, 98941, 78770, 109400, 101101, 54552, 73956, 64143, 94971, 30793, 79164, 27293, 41071, 93528, 34982, 20922, 65233, 39877, 70061, 17874, 85810, 104980, 41880, 30253, 20470, 39085, 104846, 100619, 46182, 104060, 12356, 66765, 50357, 26809)
Average QPS expected = 59893
Timestamp start: 1778343095017
Timestamp end: 1778344895336

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      253.6   121.7    74.4   121.8   135.0   228.4   285.6   316.8   340.1   368.6   405.4   465.1   587.6   878.3  2974.6  80313.8    80425
read      254.5    77.4    80.4   161.2   178.6   248.5   274.6   290.3   301.4   315.7   334.7   364.9   433.4   573.2  2996.2  10609.5    10577
read      249.5   113.7    74.4   121.7   134.6   226.2   281.6   311.3   333.2   360.2   396.3   454.5   573.1   783.4  2112.8  80899.8    80828
read      258.1   106.1    74.4   126.0   140.0   248.7   298.4   323.2   341.4   363.0   390.3   430.9   513.7   676.7  2295.0  52148.9    52257
read      259.6   104.2    80.4   129.7   144.4   256.2   298.6   320.2   336.3   354.7   377.9   415.2   492.0   609.8  2380.2  41193.0    41244
read      258.2   111.2    74.4   126.6   140.5   249.9   298.5   323.0   340.9   362.0   388.4   428.0   507.6   654.5  2409.1  49963.6    50042
read      251.5   118.8    74.4   121.7   134.6   226.2   282.5   313.1   336.0   364.5   402.2   464.2   594.0   855.3  2090.5  82468.3    82346
read      260.7   100.9    74.4   127.5   141.5   253.7   302.7   327.7   345.0   366.1   392.0   430.0   507.2   636.8  1707.1  48098.9    48066
read      261.4   106.4    74.4   128.5   143.1   255.8   302.3   325.8   342.6   362.8   387.7   424.9   500.6   634.4  2679.9  43998.9    43897
read      252.7    78.8    80.4   157.9   176.2   247.6   273.9   289.4   300.1   313.8   331.9   360.9   424.4   570.3  2479.5  11635.9    11554
